Title:,Time Series, Area-Averaged of Carbon Monoxide, Mole Fraction in Air (Daytime/Ascending) monthly 1 ()
User Start Date:,2014-01-01T00:00:00Z
User End Date:,2014-12-31T23:59:59Z
User Bounding Box:,"45.9668,40.0195,87.4512,55.8398"
Data Bounding Box:,"46.5,40.5,86.5,55.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2014-01-01T00:00:00Z&endtime=2014-12-31T23:59:59Z&bbox=45.9668,40.0195,87.4512,55.8398&data=AIRX3STM_006_CO_VMR_A(z%3D3)&variableFacets=dataFieldMeasurement%3ACO%3B&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STM_006_CO_VMR_A): -9999

time, mean_AIRX3STM_006_CO_VMR_A
2014-01-01 00:00:00,27.1745582
2014-02-01 00:00:00,27.593815
2014-03-01 00:00:00,26.893956
2014-04-01 00:00:00,26.1758482
2014-05-01 00:00:00,25.8743362
2014-06-01 00:00:00,25.7487882
2014-07-01 00:00:00,25.6599084
2014-08-01 00:00:00,25.3736089
2014-09-01 00:00:00,25.0663842
2014-10-01 00:00:00,24.7944349
2014-11-01 00:00:00,24.9295656
2014-12-01 00:00:00,25.820774
