Title:,Time Series, Area-Averaged of Ozone, Mole Fraction in Air (Daytime/Ascending) monthly 1 deg. @600hPa ()
User Start Date:,2009-01-01T00:00:00Z
User End Date:,2009-12-31T23:59:59Z
User Bounding Box:,"45.9668,40.0195,87.4512,55.8398"
Data Bounding Box:,"46.5,40.5,86.5,55.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2009-01-01T00:00:00Z&endtime=2009-12-31T23:59:59Z&bbox=45.9668,40.0195,87.4512,55.8398&data=AIRX3STM_006_O3_VMR_A(z%3D600)&variableFacets=dataFieldMeasurement%3AOzone%3B&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STM_006_O3_VMR_A): -9999

time, mean_AIRX3STM_006_O3_VMR_A
2009-01-01 00:00:00,45.1598587
2009-02-01 00:00:00,49.5185051
2009-03-01 00:00:00,55.3192711
2009-04-01 00:00:00,63.7115059
2009-05-01 00:00:00,66.7934723
2009-06-01 00:00:00,66.7197952
2009-07-01 00:00:00,68.968605
2009-08-01 00:00:00,68.7286148
2009-09-01 00:00:00,61.7637749
2009-10-01 00:00:00,54.4903831
2009-11-01 00:00:00,48.1319504
2009-12-01 00:00:00,47.961216
