Title:,Time Series, Area-Averaged of Ozone, Mole Fraction in Air (Daytime/Ascending) monthly 1 deg. @15hPa ()
User Start Date:,2014-01-01T00:00:00Z
User End Date:,2014-12-31T23:59:59Z
User Bounding Box:,"45.9668,40.0195,87.4512,55.8398"
Data Bounding Box:,"46.5,40.5,86.5,55.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2014-01-01T00:00:00Z&endtime=2014-12-31T23:59:59Z&bbox=45.9668,40.0195,87.4512,55.8398&data=AIRX3STM_006_O3_VMR_A(z%3D15)&variableFacets=dataFieldMeasurement%3AOzone%3B&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STM_006_O3_VMR_A): -9999

time, mean_AIRX3STM_006_O3_VMR_A
2014-01-01 00:00:00,5632.63965
2014-02-01 00:00:00,5785.60303
2014-03-01 00:00:00,6201.49951
2014-04-01 00:00:00,6516.8623
2014-05-01 00:00:00,6912.66553
2014-06-01 00:00:00,7025.87109
2014-07-01 00:00:00,7081.67627
2014-08-01 00:00:00,6897.80713
2014-09-01 00:00:00,6377.29736
2014-10-01 00:00:00,5975.42285
2014-11-01 00:00:00,5576.12158
2014-12-01 00:00:00,5750.09863
