Title:,Time Series, Area-Averaged of Carbon Monoxide, Mole Fraction in Air (Daytime/Ascending) monthly 1 ()
User Start Date:,2009-01-01T00:00:00Z
User End Date:,2009-12-31T23:59:59Z
User Bounding Box:,"45.9668,40.0195,87.4512,55.8398"
Data Bounding Box:,"46.5,40.5,86.5,55.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2009-01-01T00:00:00Z&endtime=2009-12-31T23:59:59Z&bbox=45.9668,40.0195,87.4512,55.8398&data=AIRX3STM_006_CO_VMR_A(z%3D850)&variableFacets=dataFieldMeasurement%3ACO%3B&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STM_006_CO_VMR_A): -9999

time, mean_AIRX3STM_006_CO_VMR_A
2009-01-01 00:00:00,142.702165
2009-02-01 00:00:00,150.023187
2009-03-01 00:00:00,157.696832
2009-04-01 00:00:00,157.806538
2009-05-01 00:00:00,137.704581
2009-06-01 00:00:00,113.548736
2009-07-01 00:00:00,101.608938
2009-08-01 00:00:00,100.986379
2009-09-01 00:00:00,101.178479
2009-10-01 00:00:00,110.088686
2009-11-01 00:00:00,125.142448
2009-12-01 00:00:00,136.814667
