Title:,Time Series, Area-Averaged of Carbon Monoxide, Mole Fraction in Air (Daytime/Ascending) monthly 1 ()
User Start Date:,2010-01-01T00:00:00Z
User End Date:,2010-12-31T23:59:59Z
User Bounding Box:,"45.9668,40.0195,87.4512,55.8398"
Data Bounding Box:,"46.5,40.5,86.5,55.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2010-01-01T00:00:00Z&endtime=2010-12-31T23:59:59Z&bbox=45.9668,40.0195,87.4512,55.8398&data=AIRX3STM_006_CO_VMR_A(z%3D400)&variableFacets=dataFieldMeasurement%3ACO%3B&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STM_006_CO_VMR_A): -9999

time, mean_AIRX3STM_006_CO_VMR_A
2010-01-01 00:00:00,102.637974
2010-02-01 00:00:00,105.821889
2010-03-01 00:00:00,109.563997
2010-04-01 00:00:00,111.938477
2010-05-01 00:00:00,106.676741
2010-06-01 00:00:00,95.0360169
2010-07-01 00:00:00,96.2087646
2010-08-01 00:00:00,124.908093
2010-09-01 00:00:00,90.0575162
2010-10-01 00:00:00,86.2519631
2010-11-01 00:00:00,86.3870375
2010-12-01 00:00:00,94.3438898
